DamID,Location,Sample,Weight,nFiber,nFilm,nFragment,nFoam,nBead
FR,Upstream,Water,2,36,1,0,1,0
FR,Reservoir,Water,2,33,0,0,0,0
FR,Downstream,Water,2,50,0,0,0,0
BL,Upstream,Water,2,55,0,0,0,0
BL,Reservoir,Water,2,20,1,2,0,0
BL,Downstream,Water,2,31,0,0,0,0
SD,Upstream,Water,2,15,0,0,1,0
SD,Reservoir,Water,2,13,0,0,0,0
SD,Downstream,Water,2,11,0,0,0,0
3D,Upstream,Water,2,25,0,1,0,0
3D,Reservoir,Water,2,8,0,1,0,0
3D,Downstream,Water,2,11,0,0,0,0
2D,Upstream,Water,2,22,0,1,0,0
2D,Reservoir,Water,2,10,0,0,0,0
2D,Downstream,Water,2,21,0,0,0,0
1D,Upstream,Water,2,18,0,0,1,0
1D,Reservoir,Water,2,22,0,1,0,0
1D,Downstream,Water,2,19,0,0,1,0
FR,Upstream,Sediment,0.62,56,0,0,0,1
FR,Reservoir,Sediment,0.638,93,0,2,1,0
FR,Downstream,Sediment,1.041,31,0,0,1,0
BL,Upstream,Sediment,0.236,16,1,7,1,1
BL,Reservoir,Sediment,0.24,48,0,5,2,0
BL,Downstream,Sediment,0.542,25,0,0,0,0
SD,Upstream,Sediment,0.761,9,0,0,0,0
SD,Reservoir,Sediment,0.395,24,1,16,2,0
SD,Downstream,Sediment,0.73,22,0,0,0,0
3D,Upstream,Sediment,0.917,12,1,2,0,0
3D,Reservoir,Sediment,0.135,22,0,1,0,0
3D,Downstream,Sediment,0.38,12,0,0,0,0
2D,Upstream,Sediment,0.388,20,0,4,0,1
2D,Reservoir,Sediment,0.38,39,4,6,1,0
2D,Downstream,Sediment,0.599,18,1,6,0,0
1D,Upstream,Sediment,0.558,30,0,1,0,0
1D,Reservoir,Sediment,0.719,11,1,1,1,0
1D,Downstream,Sediment,0.631,15,0,0,0,0
